Name,BVID,Duration
000000_000001-000268_000269,BV1JwBKYnEFB,1273
000270_000271-000538_000539,BV1fwBKYJEVZ,1135
000540_000541-000808_000809,BV1fwBKYJE1z,1242
000810_000811-001078_001079,BV1fwBKYJEYu,1253
001080_001081-001348_001349,BV1oKBKY2Exw,1124
001350_001351-001618_001619,BV1fwBKYJEcE,1203
001620_001621-001888_001889,BV1ZwBKYJERa,1169
001890_001891-002158_002159,BV1jKBKYmEqw,1196
002160_002161-002428_002429,BV1jKBKYmES8,1147
002430_002431-002698_002699,BV1JwBKYnELW,1149
002700_002701-002968_002969,BV1pdBNYsEjr,1210
002970_002971-003238_003239,BV1HdBNYsEf8,1126
003240_003241-003508_003509,BV1HdBNYsEHB,1153
003510_003511-003778_003779,BV1wdBNYsEBR,1109
003780_003781-004048_004049,BV1wdBNYsE8B,1103
004050_004051-004318_004319,BV1HdBNYsEZ9,1133
004320_004321-004588_004589,BV1wdBNYsEhi,1104
004590_004591-004858_004859,BV1rdBNYsEQU,1133
004860_004861-005128_005129,BV1wdBNYsEwY,1248
005130_005131-005398_005399,BV1wdBNYsEE6,1270
005400_005401-005668_005669,BV1FFBKYQEu6,1225
005670_005671-005938_005939,BV1fFBKYDEQG,1266
005940_005941-006208_006209,BV1nfBNYpEmR,1210
006210_006211-006478_006479,BV1FfBNYpEB8,1214
006480_006481-006748_006749,BV1FfBNYpEBp,1135
006750_006751-007018_007019,BV1JFBKYQE3J,1260
007020_007021-007288_007289,BV1JFBKYQE3Q,1162
007290_007291-007558_007559,BV1JfBNYpERM,1100
007560_007561-007828_007829,BV1fFBKYDEQg,1125
007830_007831-008098_008099,BV1JFBKYQEjY,1275
